Reactant ID,ee (%),Alkene Type
react_260,86,tri
react_260,95,tri
react_261,90,tri
react_261,85,tri
react_262,80,tri
react_262,80,tri
react_263,95,tri
react_264,80,tri
react_265,92,tri
react_265,93,tri
react_266,98,tri
react_267,89,tri
react_267,71,tri
react_266,85,tri
react_268,86,tri
react_268,68,tri
react_269,86,tri
react_269,63,tri
react_270,87,tri
react_270,47,tri
react_271,76,tri
react_271,67,tri
react_272,84,tri
react_272,63,tri
react_273,70,tri
react_273,0,tri
react_274,89,tri
react_274,76,tri
react_275,15,tri
react_276,75,tri
react_276,47,tri
react_277,50,tri
react_277,28,tri
react_278,99,tri
react_278,97,tri
react_279,74,tri
react_279,63,tri
react_280,50,tri
react_280,48,tri
react_281,5,tri
react_282,73,tri
react_283,79,tri
react_284,91,tri
react_285,97,tri
react_286,64,tri
react_287,82,tri
react_288,72,tri
react_288,49,tri
react_289,72,tri
react_289,76,tri
react_290,92,tri
react_291,60,tri
react_292,20,tetra
react_293,39,tetra
react_294,29,tetra
react_295,59,tetra
react_296,83,tetra
react_296,85,tetra
react_297,75,tetra
react_298,64,tetra
react_298,60,tetra
react_299,67,tetra
react_299,65,tetra
react_300,93,tetra
react_300,95,tetra
react_301,85,tetra
react_301,81,tetra
react_302,89,tetra
react_303,75,tetra
react_303,81,tetra
react_304,53,tetra
react_304,63,tetra
react_305,44,tetra
react_306,78,tetra
react_307,40,tetra
react_308,40,tetra
react_309,30,tetra
react_310,55,tetra
react_311,80,mono
react_83,98,mono
react_82,86,mono
react_212,83,mono
react_195,77,mono
react_208,56,mono
react_312,40,mono
react_202,70,mono
react_313,67,mono
react_313,52,mono
react_314,69,gem_di
react_314,75,gem_di
react_315,30,gem_di
react_316,31,gem_di
react_317,72,trans_di
react_33,99,trans_di
react_33,96,trans_di
react_318,95,trans_di
react_319,97,trans_di
react_320,95,trans_di
react_321,94,trans_di
react_322,98,trans_di
react_323,94,trans_di
react_324,90,trans_di
react_325,52,tri
react_326,98,tri
react_327,86,tri
react_328,74,tri
react_329,95,tri
react_330,83,tri
react_331,99,tri
react_331,98,tri
react_332,90,tri
react_333,95,tri
react_333,96,tri
react_334,86,tri
react_334,89,tri
react_335,85,tri
react_335,84,tri
react_336,97,tri
react_337,91,tri
react_337,93,tri
react_338,79,tri
react_339,98,trans_di
react_340,96,trans_di
react_341,98,trans_di
react_342,98,trans_di
react_343,96,trans_di
react_344,98,trans_di
react_345,92,trans_di
react_346,89,tri
react_347,99,tri
react_348,98,trans_di
react_349,98,trans_di
react_350,84,trans_di
react_351,98,trans_di
react_352,97,trans_di
react_353,93,trans_di
react_354,47,mono
react_355,77,tri
react_356,93,trans_di
react_357,76,mono
react_357,55,mono
react_358,90,gem_di
react_359,94,gem_di
react_360,99,gem_di
react_361,99,gem_di
react_362,95,gem_di
react_363,38,mono
react_364,62,mono
react_365,90,gem_di
react_366,93,gem_di
react_367,42,mono
react_367,22,mono
react_368,89,mono
react_368,94,mono
react_369,98.8,mono
react_369,97.6,mono
react_370,98,trans_di
react_371,60,trans_di
react_372,98,trans_di
react_373,97,trans_di
react_374,97.8,trans_di
react_375,98.7,trans_di
react_376,94,gem_di
react_377,89,trans_di
react_378,80,trans_di
react_379,98,trans_di
react_380,94,trans_di
react_381,88,trans_di
react_382,88,trans_di
react_382,84,trans_di
react_383,82,trans_di
react_383,81,trans_di
react_379,98,trans_di
react_384,99,trans_di
react_385,98,trans_di
react_386,23,tri
react_387,72,trans_di
react_387,78,trans_di
react_388,96,trans_di
react_389,92,trans_di
react_390,95,trans_di
react_391,78,trans_di
react_392,97,trans_di
react_393,96,trans_di
react_393,92,trans_di
react_394,97,trans_di
react_395,99,trans_di
react_395,95,trans_di
react_396,97,trans_di
react_397,83,tri
react_398,96,tri
react_399,95,tri
react_400,91,tri
react_401,88,tri
react_401,86,tri
react_402,92,tri
react_402,98,tri
react_403,78,tri
react_404,91,tri
react_404,96,tri
react_405,90,tri
react_405,79,tri
react_406,68,tri
react_406,60,tri
react_407,0,tri
react_407,0,tri
react_408,93,tri
react_408,94,tri
react_409,93,tri
react_410,32,tri
react_411,47,tri
react_412,80,tri
react_412,70,tri
react_413,97,tri
react_414,99,tri
react_415,99,tri
react_416,99,tri
react_417,99,tri
react_418,99,tri
react_419,93,tri
react_420,95,tri
react_420,93,tri
react_421,93,tri
react_421,95,tri
react_422,18,tri
react_423,18,tri
react_424,18,tri
react_424,14,tri
react_425,27,tri
react_426,92,tri
react_427,78,gem_di
react_428,32,trans_di
react_428,40,trans_di
react_429,68,trans_di
react_430,56,trans_di
react_430,60,trans_di
react_431,66,trans_di
react_432,93,trans_di
react_433,99,trans_di
react_431,72,trans_di
react_434,91,tri
react_435,90,tri
react_435,95,tri
react_436,84,tri
react_436,85,tri
react_437,98,trans_di
react_438,95,trans_di
react_439,82,mono
react_440,97,tri
react_441,94,gem_di
react_441,94,gem_di
react_441,82,gem_di
react_442,33.8,tri
react_442,1.2,tri
react_443,59.4,tri
react_443,54.5,tri
react_444,96,gem_di
react_445,94,gem_di
react_446,92,gem_di
react_447,94,gem_di
react_448,95,gem_di
react_449,98,gem_di
react_450,99,gem_di
react_451,97,gem_di
react_452,98,gem_di
react_453,99,gem_di
react_454,99,gem_di
react_455,98,gem_di
react_456,97,gem_di
react_457,99,gem_di
react_458,96,gem_di
react_459,98,gem_di
react_460,85,tetra
react_460,94,tetra
react_461,23,tri
react_462,97,trans_di
react_463,91,tri
react_464,85,trans_di
react_465,94,trans_di
react_466,99.8,mono
react_466,99.4,mono
react_467,99,trans_di
react_468,97,mono
react_469,97,mono
react_470,95,mono
react_470,95,mono
react_471,98,mono
react_472,96,mono
react_473,95,trans_di
react_473,97,trans_di
react_474,86,trans_di
react_475,65,mono
react_476,25,mono
react_477,78,trans_di
react_478,78,trans_di
react_479,28,cis_di
react_480,16,cis_di
react_481,75,tri
react_482,68,tri
react_482,72,tri
react_483,66,tri
react_483,79,tri
react_484,58,tri
react_484,69,tri
react_485,59,tri
react_485,65,tri
react_486,83,tri
react_486,85,tri
react_487,30,tri
react_487,41,tri
react_488,72,tri
react_488,61,tri
react_489,50,tri
react_489,44,tri
react_490,63,tri
react_490,88,tri
react_491,82,tri
react_491,87,tri
react_492,84,tri
react_492,90,tri
react_493,91,tri
react_493,97,tri
react_494,80,tri
react_494,85,tri
react_495,93,trans_di
react_496,94,trans_di
react_496,97,trans_di
react_497,97,trans_di
react_498,93,trans_di
react_499,96,trans_di
react_500,58,tri
react_501,80,trans_di
react_501,62,trans_di
react_502,89,mono
react_502,92,mono
react_503,87,trans_di
react_503,91,trans_di
react_504,97,trans_di
react_504,97,trans_di
react_505,96,trans_di
react_506,91,trans_di
react_506,94,trans_di
react_507,98,tri
react_508,99.8,mono
react_508,80,mono
react_509,90,trans_di
react_510,88,tetra
react_510,88,tetra
react_511,83,trans_di
react_512,92,trans_di
react_513,75,trans_di
react_514,69,trans_di
react_515,92,trans_di
react_516,99,trans_di
react_517,96,trans_di
react_518,99,trans_di
react_519,96,trans_di
react_516,98,trans_di
react_520,87,mono
react_520,72,mono
react_521,75,mono
react_520,76,mono
react_14,80,mono
react_522,79,mono
react_522,80,mono
react_12,72,gem_di
react_523,80,trans_di
react_523,77,trans_di
react_325,50,tri
react_325,50,tri
react_67,37,cis_di
react_524,45,trans_di
react_525,66,tri
react_526,80,tri
react_527,92,tri
react_528,12,tri
react_529,92,tri
react_530,96,tri
react_531,26,tri
react_532,74,tri
react_533,94,tri
react_534,26,tri
react_535,76,tri
react_536,90,tri
react_537,83,tri
react_538,92,tri
react_525,83,tri
react_539,89,tri
react_540,92,tri
react_526,92,tri
react_527,94,tri
react_541,95,tri
react_528,20,tri
react_542,86,tri
react_543,76,tri
react_544,84,tri
react_545,64,tri
react_529,93,tri
react_546,94,tri
react_530,97,tri
react_531,36,tri
react_547,94,tri
react_548,38,tri
react_532,83,tri
react_549,93,tri
react_533,92,tri
react_534,36,tri
react_535,79,tri
react_536,92,tri
react_537,87,tri
react_538,90,tri
react_550,98,tri
react_551,93,trans_di
react_183,54,mono
react_552,67,mono
react_552,52,mono
react_315,39,gem_di
react_553,38,cis_di
react_554,56,cis_di
react_555,99,cis_di
react_556,53,cis_di
react_557,70,cis_di
react_558,80,cis_di
react_559,83,cis_di
react_560,30,cis_di
react_561,47,cis_di
react_562,37,cis_di
react_563,91,cis_di
react_564,31,cis_di
react_565,30,cis_di
react_566,41,cis_di
react_567,16,cis_di
react_568,5,cis_di
react_569,51,trans_di
react_570,65,trans_di
react_571,69,trans_di
react_572,22,trans_di
react_573,50,trans_di
react_574,96.5,trans_di
react_575,94,tri
react_576,64,cis_di
react_576,57,cis_di
react_577,74,cis_di
react_577,64,cis_di
react_578,23,cis_di
react_579,74,cis_di
react_580,89,mono
react_581,90,mono
react_582,87,mono
react_583,86,mono
react_584,84,mono
react_585,75,trans_di
react_586,97,trans_di
react_587,96,trans_di
react_588,90,trans_di
react_589,95,trans_di
react_590,89,trans_di
react_591,98,trans_di
react_592,62,trans_di
react_593,96,trans_di
react_594,26,tri
react_595,97.8,cis_di
react_596,99,mono
react_394,95,trans_di
react_389,86,trans_di
react_392,93,trans_di
react_597,93,mono
react_598,90,tri
react_599,90,trans_di
react_599,95,trans_di
react_600,90,trans_di
react_601,32,mono
react_602,93,trans_di
react_512,80,trans_di
react_603,93,tri
react_604,94,trans_di
react_605,95,trans_di
react_606,94,trans_di
react_607,84,mono
react_608,98,trans_di
react_608,96,trans_di
react_609,90,trans_di
react_610,99,trans_di
react_611,99,trans_di
react_612,94,tri
react_612,96,tri
react_613,85,gem_di
react_614,97,trans_di
react_615,93,trans_di
react_616,82,tri
react_616,82,tri
react_617,84,mono
react_617,83,mono
react_618,98,tri
react_619,98,tri
react_84,94.5,tri
react_620,94,tri
react_621,92,trans_di
react_621,96,trans_di
react_622,96,tri
react_623,98,tri
react_623,97,tri
react_575,90,tri
react_624,78,trans_di
react_625,89,tri
react_626,94,trans_di
react_627,92,tri
react_628,97,trans_di
react_629,38,trans_di
react_630,84,trans_di
react_630,84,trans_di
react_631,92,trans_di
react_631,91,trans_di
react_632,95,trans_di
react_632,98,trans_di
react_633,96,trans_di
react_634,98,trans_di
react_635,93,trans_di
react_636,88,trans_di
react_637,97,trans_di
react_638,93,trans_di
react_391,80,trans_di
react_639,92,trans_di
react_640,74,trans_di
react_641,90,trans_di
react_642,95,trans_di
react_642,90,trans_di
react_643,90,trans_di
react_644,96,trans_di
react_645,97,trans_di
react_646,80,trans_di
react_647,74,trans_di
react_648,96,trans_di
react_649,95,trans_di
react_650,96,trans_di
react_651,70,trans_di
react_652,98,trans_di
react_652,96,trans_di
react_653,98,trans_di
react_654,90,trans_di
react_655,96,trans_di
react_656,96,trans_di
react_656,94,trans_di
react_657,98,trans_di
react_657,98,trans_di
react_658,95,trans_di
react_658,95,trans_di
react_659,77,trans_di
react_432,96,trans_di
react_660,92,trans_di
react_661,94,trans_di
react_662,94,trans_di
react_662,94,trans_di
react_593,95,trans_di
react_663,96,trans_di
react_664,99,trans_di
react_665,82,trans_di
react_665,79,trans_di
react_666,98,trans_di
react_666,96,trans_di
react_667,95,trans_di
react_667,90,trans_di
react_668,96,trans_di
react_669,98,trans_di
react_669,95,trans_di
react_670,91,trans_di
react_671,96,trans_di
react_672,97,trans_di
react_629,38,trans_di
react_673,96,trans_di
react_674,95,trans_di
react_675,97,trans_di
react_676,96,trans_di
react_677,90,trans_di
react_678,93,trans_di
react_679,92,trans_di
react_680,98,trans_di
react_681,83,trans_di
react_682,97,trans_di
react_683,88,trans_di
react_684,82,trans_di
react_685,75,trans_di
react_686,96,trans_di
react_687,44,trans_di
react_688,97,trans_di
react_689,79,trans_di
react_690,96,trans_di
react_691,10,trans_di
react_692,98,trans_di
react_693,94,trans_di
react_693,90,trans_di
react_694,82,trans_di
react_695,91,trans_di
react_696,96,trans_di
react_697,94,trans_di
react_698,99,trans_di
react_699,85,trans_di
react_700,98,trans_di
react_700,94,trans_di
react_701,96,trans_di
react_701,94,trans_di
react_702,99,trans_di
react_703,99,trans_di
react_703,98,trans_di
react_704,94,trans_di
react_705,49,trans_di
react_706,81,trans_di
react_707,99,trans_di
react_708,55,trans_di
react_707,97,trans_di
react_709,97,trans_di
react_710,74,trans_di
react_710,85,trans_di
react_711,95,trans_di
react_712,91,trans_di
react_712,85,trans_di
react_713,99,trans_di
react_713,99,trans_di
react_714,95,trans_di
react_714,89,trans_di
react_390,95,trans_di
react_715,96,trans_di
react_715,97,trans_di
react_498,95,trans_di
react_716,92,trans_di
react_716,92,trans_di
react_717,79,trans_di
react_718,80,trans_di
react_719,96,trans_di
react_720,96,trans_di
react_721,92,trans_di
react_722,93,trans_di
react_723,86,trans_di
react_723,97.6,trans_di
react_724,97,trans_di
react_725,96,trans_di
react_726,86,trans_di
react_727,97,trans_di
react_727,97,trans_di
react_728,98.5,trans_di
react_728,99.5,trans_di
react_729,89,tri
react_730,94.6,trans_di
react_730,90.2,trans_di
react_731,42,gem_di
react_732,76,gem_di
react_733,64,gem_di
react_734,68,gem_di
react_735,85,gem_di
react_736,96,gem_di
react_737,41,gem_di
react_736,94,gem_di
react_738,90,gem_di
react_739,90,gem_di
react_740,83,gem_di
react_741,82,gem_di
react_742,72,gem_di
react_743,98,gem_di
react_744,96,gem_di
react_745,96,gem_di
react_746,95,gem_di
react_747,96,gem_di
react_748,96,gem_di
react_749,96,gem_di
react_750,99,gem_di
react_751,99,gem_di
react_752,70,gem_di
react_753,88,gem_di
react_754,90,tri
react_755,87,tri
react_756,94,tri
react_757,95,tri
react_758,97,tri
react_759,97,tri
react_760,97,tri
react_761,94,tri
react_762,96,tri
react_763,98,tri
react_764,91,tri
react_765,79,tri
react_766,95,trans_di
react_766,96,trans_di
react_767,85,tri
react_768,88,tri
react_769,82,tri
react_770,53,tri
react_771,91,tri
react_772,99,trans_di
react_773,40,trans_di
